Kpi;From;To;Algorithm;NoOfValues;Result;Orig
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;PaPPI;62.0;48.0;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;Priepel;621.0;490.3113470319632;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;PaPPI;81.0;29.0;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;Priepel;607.0;564.2919297693919;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;PaPPI;71.0;50.0;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;Priepel;601.0;536.5831249999999;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;PaPPI;89.0;25.0;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;Priepel;607.0;501.27452745849286;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;PaPPI;94.0;61.0;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;Priepel;567.0;695.1880261969284;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;PaPPI;69.0;75.0;40.6159307992203
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;Priepel;603.0;618.9097044695069;40.6159307992203
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;PaPPI;57.0;24.0;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;Priepel;575.0;715.1981119964589;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;PaPPI;43.0;17.0;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;Priepel;565.0;538.4031244444442;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;PaPPI;9.0;12.0;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;Priepel;585.0;759.640309368192;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;PaPPI;8.0;8.0;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;Priepel;588.0;1051.8586026936032;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;PaPPI;6.0;7.0;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;Priepel;623.0;741.7259374999995;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;PaPPI;2.0;13.0;8.243472222222223
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;Priepel;85.0;1323.4085833333331;8.243472222222223
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;PaPPI;21.0;13.0;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;Priepel;115.0;102.23342592592593;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;PaPPI;26.0;12.0;21.557820512820513
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;Priepel;226.0;225.01339506172843;21.557820512820513
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;PaPPI;47.0;22.0;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;Priepel;269.0;317.76353395061733;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;PaPPI;56.0;8.0;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;Priepel;226.0;281.24221866096866;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;PaPPI;68.0;41.0;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;Priepel;258.0;263.98411040787636;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;PaPPI;75.0;4.0;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;Priepel;245.0;370.7851754385966;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;PaPPI;91.0;30.0;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;Priepel;265.0;298.0190660225443;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;PaPPI;75.0;4.0;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;Priepel;304.0;406.96121428571433;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;PaPPI;62.0;43.0;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;Priepel;303.0;410.73938946759273;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;PaPPI;81.0;66.0;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;Priepel;292.0;451.9893703703703;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;PaPPI;71.0;77.0;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;Priepel;324.0;536.8990929705215;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;PaPPI;89.0;40.0;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;Priepel;248.0;414.5321403133903;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;PaPPI;94.0;33.0;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;Priepel;276.0;365.09442771084355;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;PaPPI;69.0;19.0;40.6159307992203
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;Priepel;304.0;629.5807905982908;40.6159307992203
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;PaPPI;57.0;22.0;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;Priepel;273.0;623.9558016877638;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;PaPPI;43.0;101.0;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;Priepel;288.0;544.5050600600601;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;PaPPI;9.0;3.0;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;Priepel;279.0;828.0198782771533;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;PaPPI;8.0;18.0;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;Priepel;312.0;590.2467055555555;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;PaPPI;6.0;42.0;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;Priepel;302.0;653.2726421957672;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;PaPPI;2.0;11.0;8.243472222222223
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;Priepel;49.0;1037.7894281045749;8.243472222222223
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;PaPPI;21.0;21.0;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;Priepel;107.0;103.46331666666667;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;PaPPI;26.0;31.0;21.557820512820513
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;Priepel;256.0;189.03041867954917;21.557820512820513
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;PaPPI;47.0;17.0;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;Priepel;266.0;251.2851738241309;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;PaPPI;56.0;28.0;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;Priepel;281.0;244.43611467236462;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;PaPPI;68.0;23.0;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;Priepel;288.0;360.9904695340499;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;PaPPI;75.0;33.0;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;Priepel;297.0;362.7381137724553;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;PaPPI;91.0;64.0;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;Priepel;318.0;437.52889906922627;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;PaPPI;75.0;22.0;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;Priepel;317.0;538.7596807857583;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;PaPPI;62.0;26.0;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;Priepel;305.0;462.0138307915759;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;PaPPI;81.0;24.0;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;Priepel;351.0;479.161648052692;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;PaPPI;71.0;26.0;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;Priepel;319.0;693.8994022092268;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;PaPPI;89.0;18.0;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;Priepel;344.0;523.4348866213154;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;PaPPI;94.0;40.0;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;Priepel;357.0;547.0931138211383;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;PaPPI;69.0;24.0;40.6159307992203
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;Priepel;328.0;891.2283348595847;40.6159307992203
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;PaPPI;57.0;26.0;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;Priepel;336.0;676.0197744922344;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;PaPPI;43.0;70.0;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;Priepel;337.0;651.6104500310364;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;PaPPI;9.0;7.0;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;Priepel;341.0;777.7099423758862;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;PaPPI;8.0;19.0;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;Priepel;292.0;764.6411623677247;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;PaPPI;6.0;44.0;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;Priepel;355.0;475.83035049447324;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;PaPPI;2.0;4.0;8.243472222222223
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;Priepel;58.0;934.7948830409355;8.243472222222223
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;PaPPI;21.0;21.0;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;Priepel;156.0;114.83966475095787;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;PaPPI;26.0;11.0;21.557820512820513
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;Priepel;380.0;228.1918336640212;21.557820512820513
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;PaPPI;47.0;88.0;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;Priepel;407.0;266.16677684667894;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;PaPPI;56.0;38.0;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;Priepel;367.0;256.2949642126789;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;PaPPI;68.0;39.0;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;Priepel;456.0;360.38163043478255;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;PaPPI;75.0;48.0;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;Priepel;408.0;475.07463433772756;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;PaPPI;91.0;30.0;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;Priepel;497.0;441.82594419531625;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;PaPPI;75.0;5.0;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;Priepel;488.0;423.4073387096772;15.366822612085775
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;PaPPI;62.0;20.0;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-07-01T00:00:00.000+02:00;2014-07-31T23:59:59.999+02:00;Priepel;481.0;522.4995249597423;26.145721040189127
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;PaPPI;81.0;46.0;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-08-01T00:00:00.000+02:00;2014-08-31T23:59:59.999+02:00;Priepel;469.0;484.4364658119658;35.51866013071895
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;PaPPI;71.0;10.0;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-09-01T00:00:00.000+02:00;2014-09-30T23:59:59.999+02:00;Priepel;456.0;649.954112729234;39.39575892857142
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;PaPPI;89.0;4.0;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-10-01T00:00:00.000+02:00;2014-10-31T23:59:59.999+01:00;Priepel;458.0;717.6850214646466;31.214143518518522
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;PaPPI;94.0;6.0;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-11-01T00:00:00.000+01:00;2014-11-30T23:59:59.999+01:00;Priepel;493.0;650.5129444444444;50.4788727858293
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;PaPPI;69.0;42.0;40.6159307992203
AvgWaitingTimeUntilAdmission;2014-12-01T00:00:00.000+01:00;2014-12-31T23:59:59.999+01:00;Priepel;466.0;771.0771133445004;40.6159307992203
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;PaPPI;57.0;4.0;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-01-01T00:00:00.000+01:00;2015-01-31T23:59:59.999+01:00;Priepel;481.0;739.1520788530472;15.104314814814817
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;PaPPI;43.0;69.0;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-02-01T00:00:00.000+01:00;2015-02-28T23:59:59.999+01:00;Priepel;422.0;759.8189492143654;47.74599849849849
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;PaPPI;9.0;6.0;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-03-01T00:00:00.000+01:00;2015-03-31T23:59:59.999+02:00;Priepel;464.0;720.259390547264;6.468055555555555
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;PaPPI;8.0;5.0;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-04-01T00:00:00.000+02:00;2015-04-30T23:59:59.999+02:00;Priepel;449.0;722.2214520202024;17.972048611111113
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;PaPPI;6.0;34.0;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-05-01T00:00:00.000+02:00;2015-05-31T23:59:59.999+02:00;Priepel;482.0;950.7305113322275;18.57541666666667
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;PaPPI;2.0;11.0;8.243472222222223
AvgWaitingTimeUntilAdmission;2015-06-01T00:00:00.000+02:00;2015-06-30T23:59:59.999+02:00;Priepel;73.0;844.6579749103944;8.243472222222223
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;PaPPI;21.0;13.0;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-11-01T00:00:00.000+01:00;2013-11-30T23:59:59.999+01:00;Priepel;154.0;99.78879012345678;18.376924603174604
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;PaPPI;26.0;43.0;21.557820512820513
AvgWaitingTimeUntilAdmission;2013-12-01T00:00:00.000+01:00;2013-12-31T23:59:59.999+01:00;Priepel;355.0;214.15750000000006;21.557820512820513
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;PaPPI;47.0;28.0;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-01-01T00:00:00.000+01:00;2014-01-31T23:59:59.999+01:00;Priepel;374.0;248.78158469945367;50.90896723646722
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;PaPPI;56.0;32.0;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-02-01T00:00:00.000+01:00;2014-02-28T23:59:59.999+01:00;Priepel;344.0;330.4513194444445;20.23372895622896
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;PaPPI;68.0;37.0;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-03-01T00:00:00.000+01:00;2014-03-31T23:59:59.999+02:00;Priepel;457.0;535.446329690346;30.76099893162393
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;PaPPI;75.0;23.0;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-04-01T00:00:00.000+02:00;2014-04-30T23:59:59.999+02:00;Priepel;467.0;705.0736909146717;27.745370370370367
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;PaPPI;91.0;52.0;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-05-01T00:00:00.000+02:00;2014-05-31T23:59:59.999+02:00;Priepel;461.0;809.3372281639932;31.821280602636534
AvgWaitingTimeUntilAdmission;2014-06-01T00:00:00.000+02:00;2014-06-30T23:59:59.999+02:00;PaPPI;75.0;27.0;15.366822612085775
